0.24 -9999 -9999 -9999
0.35 -9999 -9999 -9999
0.497324 0.0471473 0.000725696 0.00282884
0.694897 0.0661098 0.000851712 0.00396659
0.894193 0.08168 0.00106063 0.0049008
1.09419 0.0974133 0.0013423 0.0058448
1.29422 0.110048 0.00169692 0.00660288
1.49415 0.114452 0.00214651 0.00686712
1.69428 0.120961 0.00270709 0.00725766
1.89441 0.13014 0.00339805 0.0078084
2.20745 0.133374 0.00310277 0.00800244
2.71008 0.136833 0.00526402 0.00820998
3.21292 0.144102 0.0086159 0.00864612
3.71568 0.109038 0.0135908 0.00654228
4.21922 0.103716 0.0204853 0.00622296
