0.1 0 0
0.3 0.0167875 0.00442503
0.5 0.0255541 0.00568787
0.7 0.0572657 0.00480013
0.9 0.0591469 0.00719982
1.1 0.0832729 0.00887023
1.3 0.0848869 0.0134361
1.5 0.112346 0.0157965
1.7 0.135062 0.0166489
1.9 0.0834431 0.0306822
2.1 0.0961992 0.0334495
2.3 0.131096 0.0342545
2.5 0.167037 0.03701
2.7 0.120638 0.075972
2.9 0.128947 0.0561724
3.1 0.0879994 0.106567
3.3 0.102432 0.111474
3.5 0.13421 0.211589
3.7 -nan -nan
3.9 0.411281 0.126378
4.1 0.0788983 0.244025
4.3 0.659112 0.195679
4.5 -nan -nan
4.7 1.04752 0.434241
4.9 -nan -nan
