200 BBCSFVTXS 0-5% [0.25, 5.00] -0.00131 0.00000 (-0.00131 0.00000) 0.00101 0.00000 (0.00101 0.00000) 0.00004 0.00000 (0.00004 0.00000)
200 BBCSFVTXS 5-10% [0.25, 5.00] -0.00178 0.00004 (-0.00178 0.00000) 0.00087 0.00004 (0.00087 0.00000) 0.00012 0.00004 (0.00012 0.00000)
200 BBCSFVTXS 10-20% [0.25, 5.00] -0.00217 0.00004 (-0.00217 0.00000) 0.00073 0.00004 (0.00073 0.00000) 0.00003 0.00004 (0.00003 0.00000)
200 BBCSFVTXS 20-40% [0.25, 5.00] -0.00260 0.00004 (-0.00260 0.00000) 0.00067 0.00004 (0.00067 0.00000) 0.00007 0.00004 (0.00007 0.00000)
200 BBCSFVTXS 40-60% [0.25, 5.00] -0.00389 0.00006 (-0.00389 0.00000) 0.00052 0.00006 (0.00052 0.00000) 0.00012 0.00006 (0.00012 0.00000)
200 BBCSFVTXS 60-100% [0.25, 5.00] -0.00670 0.00013 (-0.00670 0.00000) 0.00087 0.00013 (0.00087 0.00000) 0.00011 0.00013 (0.00011 0.0)
