0.1 0.000877105 0.000388479
0.3 0.0168106 0.00280437
0.5 0.0361557 0.00286096
0.7 0.0522281 0.00351151
0.9 0.0653599 0.00444883
1.1 0.081618 0.00548239
1.3 0.0914544 0.00665247
1.5 0.104473 0.00850116
1.7 0.097492 0.0101058
1.9 0.0873374 0.0134709
2.1 0.122951 0.0154828
2.3 0.136158 0.0176838
2.5 0.14867 0.021452
2.7 0.0779028 0.0225683
2.9 0.177067 0.0281175
3.1 0.137657 0.0408925
3.3 0.0785202 0.0287778
3.5 0.0426045 0.119834
3.7 0.136972 0.0510199
3.9 -nan -nan
4.1 0.0385618 1.42578
4.3 0.22519 0.077433
4.5 -nan -nan
4.7 0.100777 0.395635
4.9 -nan -nan
