0.1 0.0012705 0.000562743
0.3 0.0139595 0.00344208
0.5 0.0208317 0.00418438
0.7 0.050804 0.00454989
0.9 0.0501543 0.00606243
1.1 0.0715676 0.00768307
1.3 0.0694335 0.0102109
1.5 0.0939628 0.0127212
1.7 0.113476 0.0138933
1.9 0.054461 0.00553683
2.1 0.0653338 0.0131153
2.3 0.098255 0.0226258
2.5 0.130151 0.0271082
2.7 0.0744892 0.0113793
2.9 0.0847185 0.0291394
3.1 0.0349083 0.341204
3.3 0.0523591 0.0379962
3.5 0.0663636 0.455302
3.7 -nan -nan
3.9 0.352605 0.108489
4.1 0.0264339 0.257629
4.3 0.587574 0.189617
4.5 -nan -nan
4.7 0.99889 0.556059
4.9 -nan -nan
