0.1 0.059736 0.0112862
0.3 0.079894 0.0155919
0.5 0.108903 0.0206223
0.7 0.0880516 0.0353813
0.9 0.111185 0.044339
1.1 0.145287 0.0480671
1.3 0.146435 0.0661674
1.5 -nan -nan
1.7 0.093168 0.11001
1.9 0.312836 0.165825
2.1 -nan -nan
2.3 0.36522 0.269337
2.5 0.448732 0.36367
2.7 0.125568 1.49645
2.9 0.220136 0.436525
3.1 0.500094 1.10992
3.3 -nan -nan
3.5 -nan -nan
3.7 0.514354 2.07527
3.9 1.24861 2.34435
4.1 0.544721 2.22652
4.3 -nan -nan
4.5 1.01047 2.05818
4.7 0.033001 0.012494
4.9 0.0428517 0.0121944
