0.1 0.0785388 0.0173062
0.3 0.0935242 0.0250515
0.5 0.0815177 0.0445908
0.7 0.172333 0.0390766
0.9 0.0888819 0.0572377
1.1 0.219016 0.0810483
1.3 0.171353 0.0920051
1.5 0.430033 0.112581
1.7 0.287757 0.178784
1.9 -nan -nan
2.1 -nan -nan
2.3 0.12123 0.707056
2.5 0.392027 0.379594
2.7 0.869811 0.506309
2.9 -nan -nan
3.1 0.729622 1.00989
3.3 -nan -nan
3.5 0.986893 1.20391
3.7 -nan -nan
3.9 0.938344 1.7914
4.1 0.390218 8.97081
4.3 0.974917 2.0619
4.5 0.0242522 0.0232149
4.7 0.0748387 0.0201896
4.9 0.0807832 0.021063
