0.249999 -0.452459 3.35222 
0.367554 0.0109271 0.00758267 
0.534091 0.0481762 0.00733055 
0.732109 0.0535589 0.00942366 
0.931352 0.0797313 0.012407 
1.13182 0.0758386 0.0164418 
1.29333 0.106628 0.021629 
1.46732 0.105326 0.0281899 
1.69357 0.171507 0.0367414 
1.86839 0.144463 0.0476241 
2.13343 0.203896 0.0614475 
2.33331 0.258371 0.0790157 
2.49409 0.0770266 0.101493 
2.63489 0.108703 0.127898 
2.87152 -0.0605317 0.161504 
3.13615 -0.0425729 0.202217 
3.33505 0.44278 0.250045 
3.49605 -0.106603 0.313014 
3.63415 0.590455 0.378935 
3.87808 0.389122 0.454292 
