0.1 0.17252 0.0285727
0.3 0.0904798 0.0363005
0.5 0.303824 0.0510183
0.7 0.233958 0.0610068
0.9 0.274427 0.0888146
1.1 0.142151 0.133409
1.3 0.266107 0.107625
1.5 0.197753 0.133206
1.7 0.555679 0.169849
1.9 -nan -nan
2.1 -nan -nan
2.3 0.382193 0.361639
2.5 0.455908 0.405018
2.7 0.92399 0.457446
2.9 -nan -nan
3.1 0.236149 2.18165
3.3 -nan -nan
3.5 -nan -nan
3.7 0.258916 3.53901
3.9 -nan -nan
4.1 -nan -nan
4.3 0.00724158 0.0230798
4.5 0.00911375 0.0350356
4.7 0.123695 0.0433411
4.9 0.0856308 0.0514502
