0.25 -nan -nan 
0.384843 0.00265917 0.000126815 
0.548111 0.00388459 0.000115617 
0.743854 0.00540718 0.000143323 
0.937851 0.00730663 0.000185566 
1.13984 0.00824333 0.000237111 
1.29835 0.00994517 0.000297045 
1.47731 0.0125148 0.000369787 
1.69848 0.0123403 0.000459584 
1.87839 0.0133409 0.000571895 
2.1383 0.0153346 0.000703835 
2.33758 0.0164533 0.000869518 
2.49295 0.0162225 0.00106671 
2.64326 0.0179047 0.00129429 
2.88226 0.0191141 0.00156445 
3.14118 0.016629 0.00188791 
3.3415 0.0228782 0.00226638 
3.49155 0.0216235 0.00269334 
3.6377 0.0214578 0.0031617 
3.89578 0.0254065 0.00372033 
