0.25 -nan -nan 
0.384702 0.00336054 0.000124858 
0.548769 0.00498406 0.000113878 
0.741158 0.00700464 0.000141182 
0.93958 0.00895124 0.000182814 
1.14059 0.0101823 0.000233685 
1.29758 0.0126117 0.000292936 
1.48019 0.0151236 0.000364677 
1.69618 0.0166471 0.000453576 
1.87695 0.0166303 0.000564258 
2.13712 0.0185983 0.000694424 
2.3388 0.0201034 0.000857472 
2.49366 0.0197775 0.00105239 
2.6391 0.0216189 0.00127711 
2.88916 0.0222603 0.0015439 
3.13854 0.0227795 0.00186451 
3.34102 0.0294867 0.00223433 
3.49776 0.0285739 0.00265776 
3.64046 0.0332458 0.0031171 
3.87174 0.030114 0.00366197 
