0.25 -nan -nan 
0.385734 0.00307051 0.000124711 
0.549241 0.00462074 0.000113752 
0.743651 0.00646529 0.000141044 
0.937283 0.00860868 0.000182661 
1.14281 0.0099658 0.000233515 
1.29593 0.0123259 0.00029274 
1.48022 0.0141878 0.000364271 
1.69711 0.0160459 0.000453268 
1.87848 0.0168712 0.000563624 
2.13523 0.0197019 0.000694138 
2.34054 0.0185784 0.000857367 
2.49374 0.0200726 0.00105098 
2.64181 0.0219583 0.00127572 
2.88887 0.0229909 0.00154167 
3.13189 0.0259059 0.00186044 
3.34058 0.0281113 0.00222924 
3.48988 0.0239692 0.0026562 
3.6572 0.0323191 0.00312078 
3.86054 0.0214569 0.00367876 
