0.25 -nan -nan 
0.385168 0.00381158 0.000124858 
0.548959 0.00571988 0.000113878 
0.740974 0.00800966 0.00014118 
0.939629 0.010187 0.000182813 
1.14056 0.0116571 0.000233688 
1.29733 0.0143311 0.00029291 
1.47982 0.0169659 0.000364639 
1.69613 0.0186251 0.000453571 
1.87744 0.0187862 0.000564255 
2.13711 0.0211787 0.000694362 
2.33855 0.022587 0.000857379 
2.49376 0.0223385 0.0010523 
2.63936 0.0243645 0.00127705 
2.88787 0.0255044 0.00154402 
3.13842 0.0258577 0.00186381 
3.34109 0.0326804 0.00223356 
3.49713 0.0319556 0.00265737 
3.64071 0.0363149 0.0031166 
3.87219 0.0343888 0.00366376 
