0.25 -nan -nan 
0.38829 0.0021711 0.000124744 
0.548174 0.0033711 0.000113765 
0.744491 0.00475579 0.000141069 
0.9374 0.0065402 0.000182672 
1.1431 0.00757837 0.000233485 
1.29805 0.00959072 0.000292743 
1.47595 0.0111399 0.000364366 
1.69912 0.012017 0.000453115 
1.87287 0.01291 0.000563832 
2.13817 0.0133948 0.000694105 
2.33685 0.0139604 0.000857054 
2.4971 0.0147226 0.00105086 
2.63963 0.0172722 0.00127544 
2.89116 0.0158689 0.00154465 
3.13456 0.0199491 0.00186312 
3.338 0.0227154 0.00223439 
3.49304 0.018314 0.00265341 
3.65312 0.0239324 0.00312253 
3.86234 0.0202353 0.00365904 
