0.25 -nan -nan 
0.383397 0.00199873 0.000126814 
0.548206 0.00280792 0.000115615 
0.744848 0.00396758 0.000143319 
0.937125 0.00544471 0.000185572 
1.13979 0.00607563 0.000237108 
1.29948 0.00747787 0.000297067 
1.47721 0.0096312 0.000369771 
1.69926 0.00948094 0.000459611 
1.87741 0.0101328 0.000571951 
2.13856 0.0117339 0.000703998 
2.33735 0.0127316 0.000869699 
2.4913 0.0122055 0.00106669 
2.64601 0.0141677 0.00129404 
2.87972 0.0136911 0.00156491 
3.14697 0.0112883 0.00188857 
3.34044 0.0186302 0.00226713 
3.48956 0.0164489 0.002693 
3.64043 0.0172032 0.00316101 
3.89596 0.0192768 0.00372238 
