0.25 -nan -nan 
0.388233 0.0024805 0.000124743 
0.548115 0.00386109 0.000113765 
0.743978 0.00539528 0.000141068 
0.937444 0.00733388 0.00018267 
1.14286 0.00849214 0.000233486 
1.29775 0.0106357 0.000292737 
1.47603 0.0122428 0.000364357 
1.69885 0.0132295 0.000453089 
1.87331 0.0142683 0.00056377 
2.13855 0.0148126 0.000694068 
2.33713 0.0154969 0.000857124 
2.49627 0.0162972 0.00105079 
2.64017 0.0189343 0.00127551 
2.89011 0.0177543 0.00154459 
3.1342 0.0217529 0.00186324 
3.33899 0.0243579 0.00223476 
3.4933 0.0205814 0.00265324 
3.65142 0.0257752 0.00312186 
3.86286 0.0218813 0.00365898 
