0.25 -nan -nan 
0.384439 0.00213289 0.000124708 
0.550213 0.00311846 0.000113753 
0.745043 0.00453608 0.000141045 
0.936819 0.00623959 0.000182662 
1.14386 0.00717152 0.000233515 
1.29623 0.00912369 0.000292757 
1.48081 0.010634 0.000364317 
1.69778 0.0122253 0.000453351 
1.87798 0.0127937 0.000563687 
2.1346 0.0150393 0.000694291 
2.34068 0.0141705 0.000857568 
2.49345 0.0150298 0.00105112 
2.6428 0.016841 0.00127575 
2.8912 0.0174708 0.00154203 
3.12897 0.0198482 0.00185993 
3.34359 0.021897 0.00222966 
3.48765 0.0188279 0.00265628 
3.65905 0.0260229 0.00312128 
3.8555 0.0145325 0.00367781 
