0.25 -nan -nan 
0.385623 0.00291069 0.000124711 
0.549361 0.00437136 0.000113752 
0.743828 0.00614616 0.000141045 
0.937231 0.00821446 0.000182661 
1.14298 0.00950983 0.000233515 
1.29592 0.011795 0.000292745 
1.48043 0.0135993 0.000364279 
1.69712 0.0154295 0.000453289 
1.87838 0.0161804 0.000563632 
2.1352 0.0189487 0.000694165 
2.34047 0.0178647 0.000857397 
2.4938 0.01924 0.00105098 
2.64193 0.0211302 0.00127565 
2.889 0.0220431 0.00154164 
3.13159 0.0249282 0.00186026 
3.34088 0.0270436 0.00222925 
3.48961 0.0230913 0.00265638 
3.65759 0.0314736 0.00312106 
3.85965 0.020454 0.00367909 
