0.245846 0.000629652 0.000352202 
0.38512 0.00243552 7.32351e-05 
0.548868 0.00425634 7.03537e-05 
0.742679 0.00595291 8.65376e-05 
0.941167 0.00771221 0.000110672 
1.14053 0.00929338 0.000141076 
1.29636 0.0111415 0.000177597 
1.47673 0.012529 0.000222703 
1.69768 0.0137924 0.000278131 
1.87553 0.0157807 0.000346949 
2.13763 0.016048 0.000428791 
2.34013 0.0166963 0.000529805 
2.49483 0.0182975 0.000650892 
2.64132 0.0201769 0.00079174 
2.88059 0.0194871 0.000959048 
3.13479 0.0215237 0.00115762 
3.34044 0.0228107 0.00139124 
3.50011 0.0231245 0.0016585 
3.64329 0.0252812 0.00195716 
3.87022 0.0234147 0.0023079 
