0.25 -nan -nan 
0.383712 0.00213172 0.000126814 
0.548215 0.00302511 0.000115615 
0.744585 0.004254 0.00014332 
0.937334 0.00581622 0.000185572 
1.13977 0.00650751 0.000237107 
1.29924 0.00797638 0.000297063 
1.47709 0.0102101 0.000369773 
1.69905 0.0100214 0.000459606 
1.87772 0.0107832 0.000571947 
2.13855 0.0124423 0.000703959 
2.33743 0.0135057 0.000869675 
2.49169 0.0129946 0.0010667 
2.64556 0.0149692 0.00129401 
2.88 0.0146893 0.00156486 
3.1459 0.012291 0.00188844 
3.34051 0.0195435 0.00226691 
3.49025 0.017541 0.00269346 
3.63968 0.018091 0.00316076 
3.89591 0.020544 0.00372207 
