0.25 -nan -nan 
0.384205 0.00304574 0.000124859 
0.548864 0.00447574 0.000113878 
0.741193 0.00632764 0.000141184 
0.939673 0.00811983 0.000182818 
1.14049 0.0092111 0.000233684 
1.29781 0.011465 0.000292954 
1.48039 0.0138838 0.00036469 
1.69625 0.0152736 0.000453592 
1.87652 0.0151497 0.000564254 
2.13726 0.0168407 0.000694462 
2.33897 0.0184135 0.000857504 
2.49343 0.0180322 0.00105238 
2.63926 0.0197623 0.00127723 
2.89023 0.0201047 0.00154387 
3.13834 0.0209009 0.00186513 
3.34086 0.0272741 0.00223491 
3.49839 0.0262579 0.00265776 
3.63999 0.0308656 0.00311788 
3.87224 0.0275092 0.00366269 
