0.25 -nan -nan 
0.388145 0.00337904 0.00012474 
0.548374 0.00529623 0.000113766 
0.742755 0.0073339 0.000141067 
0.937525 0.00966147 0.000182668 
1.14231 0.0111794 0.000233479 
1.29694 0.0136398 0.000292721 
1.47674 0.015449 0.000364363 
1.69792 0.0167 0.000453051 
1.87491 0.0182201 0.000563623 
2.13828 0.0190943 0.000693924 
2.33797 0.0197788 0.000857104 
2.49567 0.020915 0.00105082 
2.63975 0.0235741 0.00127567 
2.88856 0.0231336 0.0015443 
3.13403 0.0271244 0.00186286 
3.341 0.0296091 0.00223502 
3.49314 0.026879 0.00265494 
3.64849 0.0314981 0.00311931 
3.86659 0.0278987 0.00365996 
