0.25 -nan -nan 
0.385123 0.00243858 0.00012471 
0.549832 0.00362304 0.000113753 
0.744427 0.0051855 0.000141045 
0.936952 0.00704358 0.000182662 
1.14342 0.00810316 0.000233515 
1.29611 0.010188 0.000292754 
1.4807 0.0118239 0.000364303 
1.69742 0.0135108 0.000453323 
1.87827 0.014135 0.000563657 
2.13478 0.0166282 0.000694232 
2.34081 0.0156048 0.000857497 
2.49357 0.0167645 0.00105104 
2.64244 0.0185952 0.00127576 
2.88997 0.0192767 0.00154185 
3.1303 0.0219075 0.00185997 
3.34206 0.0240464 0.00222944 
3.48876 0.0204859 0.0026565 
3.65831 0.0284829 0.00312174 
3.85739 0.0169504 0.00367812 
