0.25 -nan -nan 
0.383387 0.00182199 0.000124707 
0.550668 0.00261015 0.000113751 
0.74593 0.00387251 0.000141046 
0.936721 0.00542851 0.000182662 
1.14446 0.00624058 0.00023352 
1.29626 0.00804113 0.000292763 
1.48117 0.00942457 0.000364323 
1.69812 0.0109356 0.000453381 
1.87783 0.0114243 0.000563736 
2.13441 0.0134437 0.00069431 
2.34021 0.0127089 0.000857534 
2.49348 0.0131881 0.00105113 
2.64358 0.0151037 0.00127563 
2.89187 0.0156358 0.00154197 
3.1277 0.0175772 0.00186015 
3.34486 0.0197174 0.00222945 
3.48727 0.0171615 0.00265653 
3.65922 0.0236017 0.00312116 
3.85229 0.0123397 0.0036771 
