0.25 -nan -nan 
0.382193 0.00175031 0.000126816 
0.548303 0.00236697 0.000115614 
0.745344 0.0033892 0.000143317 
0.936771 0.0046827 0.000185569 
1.13989 0.00521042 0.000237109 
1.30005 0.00649124 0.000297079 
1.47723 0.00848403 0.000369779 
1.69989 0.0083618 0.000459613 
1.87646 0.00884212 0.000571959 
2.13864 0.0102312 0.00070411 
2.33752 0.0111867 0.000869749 
2.49013 0.0106379 0.00106667 
2.64711 0.0125065 0.00129418 
2.87916 0.0116949 0.00156509 
3.14937 0.00937652 0.00188878 
3.34129 0.0165962 0.00226766 
3.48679 0.0143858 0.0026922 
3.6421 0.0154019 0.00316023 
3.89828 0.0166332 0.0037226 
