0.25 -nan -nan 
0.388181 0.00263309 0.000124742 
0.548175 0.00410083 0.000113765 
0.743712 0.00572141 0.000141067 
0.937483 0.00772236 0.000182669 
1.14276 0.00894556 0.000233483 
1.29761 0.0111612 0.000292732 
1.47607 0.0127884 0.000364359 
1.6987 0.0138277 0.00045308 
1.87348 0.0149266 0.000563753 
2.13873 0.015506 0.000694057 
2.33713 0.016261 0.000857136 
2.49611 0.0170577 0.00105078 
2.64015 0.0197197 0.00127551 
2.88961 0.0186771 0.00154456 
3.13437 0.0225559 0.0018633 
3.33942 0.0252207 0.00223491 
3.49317 0.0216947 0.00265307 
3.65089 0.0268471 0.00312131 
3.8632 0.022809 0.00365953 
