0.25 -nan -nan 
0.384823 0.00351445 0.000124858 
0.54885 0.00522948 0.000113878 
0.7411 0.00734589 0.000141181 
0.939575 0.00936412 0.000182813 
1.1406 0.0106668 0.000233685 
1.29752 0.0131999 0.000292929 
1.48001 0.0157522 0.000364668 
1.69617 0.0173185 0.000453584 
1.87708 0.017345 0.000564258 
2.1371 0.0194572 0.000694415 
2.33873 0.020928 0.000857451 
2.49375 0.0206472 0.00105237 
2.63903 0.0225109 0.00127711 
2.88866 0.0233609 0.00154387 
3.13875 0.0237048 0.00186432 
3.34102 0.0306031 0.00223425 
3.49752 0.0297412 0.00265794 
3.64076 0.0343864 0.00311716 
3.87142 0.0314496 0.00366212 
