0.25 -nan -nan 
0.383856 0.00289248 0.000124859 
0.548898 0.00421747 0.000113877 
0.741295 0.00598795 0.000141185 
0.939603 0.00770212 0.000182817 
1.14051 0.00869547 0.000233683 
1.29797 0.0108919 0.000292965 
1.48044 0.0132518 0.000364707 
1.69625 0.0145606 0.000453599 
1.87644 0.014439 0.000564254 
2.13722 0.0159913 0.000694475 
2.33917 0.017532 0.000857539 
2.4932 0.017163 0.00105235 
2.63948 0.0188544 0.0012773 
2.89068 0.0190567 0.00154383 
3.1386 0.0198643 0.00186534 
3.34064 0.026232 0.00223502 
3.49866 0.0251534 0.0026577 
3.63975 0.0298101 0.00311773 
3.87252 0.026178 0.003663 
