0.25 -nan -nan 
0.385336 0.00259316 0.000124711 
0.549652 0.00387078 0.000113752 
0.744243 0.00550821 0.000141045 
0.937014 0.00744001 0.000182662 
1.14332 0.00857404 0.000233517 
1.29597 0.0107192 0.000292752 
1.48071 0.0124117 0.000364295 
1.69728 0.0141507 0.000453317 
1.87838 0.0148084 0.000563642 
2.13487 0.0174166 0.000694207 
2.34072 0.0163638 0.00085748 
2.49365 0.0175822 0.00105101 
2.64232 0.0194692 0.00127571 
2.88956 0.0201479 0.00154172 
3.13087 0.0229222 0.00185995 
3.34144 0.0251131 0.00222933 
3.4891 0.0213316 0.00265655 
3.65824 0.0296687 0.00312169 
3.85784 0.0182807 0.0036783 
