0.25 -nan -nan 
0.388226 0.00322346 0.000124741 
0.548363 0.00506033 0.000113766 
0.742947 0.00701595 0.000141067 
0.93749 0.00927748 0.000182668 
1.1424 0.0107355 0.00023348 
1.29704 0.0131546 0.000292727 
1.4766 0.0149291 0.00036436 
1.69809 0.0161236 0.000453055 
1.87456 0.017559 0.000563653 
2.13845 0.0183672 0.000693941 
2.33772 0.0190645 0.000857111 
2.49578 0.0201354 0.00105088 
2.63984 0.0228232 0.00127568 
2.88869 0.02224 0.00154436 
3.13399 0.0262495 0.00186306 
3.34096 0.0287148 0.00223503 
3.49291 0.0258729 0.00265451 
3.6489 0.030681 0.00311976 
3.86616 0.0269879 0.00365962 
