0.25 -nan -nan 
0.384008 0.00226434 0.000126813 
0.548189 0.00323811 0.000115616 
0.744371 0.00453744 0.000143321 
0.937523 0.00618203 0.00018557 
1.13985 0.00694082 0.000237108 
1.29899 0.00848125 0.000297063 
1.47709 0.0107871 0.000369774 
1.69886 0.010593 0.000459603 
1.87788 0.0114084 0.000571933 
2.13843 0.0131548 0.00070391 
2.33758 0.0142398 0.000869633 
2.4921 0.0138247 0.0010667 
2.64495 0.0157518 0.00129412 
2.88056 0.0157377 0.00156475 
3.14426 0.0132843 0.00188822 
3.3409 0.0203249 0.00226662 
3.49054 0.0185532 0.00269346 
3.63926 0.0188802 0.00316064 
3.89601 0.0215875 0.00372131 
