0.25 -nan -nan 
0.384503 0.00320221 0.000124858 
0.548769 0.00473246 0.000113878 
0.74117 0.00666549 0.000141183 
0.939626 0.00853523 0.000182816 
1.14054 0.00970027 0.000233685 
1.29769 0.0120351 0.000292945 
1.48028 0.0145109 0.000364683 
1.69622 0.0159648 0.000453586 
1.87678 0.0158914 0.000564257 
2.13716 0.0177299 0.000694446 
2.33886 0.0192746 0.000857486 
2.49354 0.0189069 0.00105239 
2.63922 0.0207038 0.00127716 
2.88966 0.0211845 0.00154389 
3.13837 0.0218545 0.00186478 
3.34099 0.0283576 0.00223466 
3.49802 0.0273863 0.00265772 
3.64038 0.0320999 0.00311752 
3.87195 0.0287902 0.00366248 
