0.25 -nan -nan 
0.38534 0.00396212 0.000124858 
0.54898 0.00596725 0.000113878 
0.740908 0.00833847 0.00014118 
0.939615 0.0105888 0.000182813 
1.14059 0.0121467 0.000233691 
1.29726 0.0148995 0.000292902 
1.4797 0.0175694 0.000364633 
1.69609 0.019259 0.000453558 
1.87767 0.0195202 0.000564243 
2.13709 0.0220581 0.000694324 
2.33849 0.0234143 0.000857342 
2.49377 0.0231932 0.00105228 
2.63933 0.0252143 0.00127707 
2.88759 0.0265131 0.00154411 
3.13848 0.0268994 0.00186361 
3.34112 0.0337078 0.00223319 
3.49676 0.032958 0.00265739 
3.6407 0.0372917 0.00311689 
3.87262 0.0356457 0.00366452 
