0.25 -nan -nan 
0.384954 0.00366507 0.000124858 
0.54893 0.00547276 0.000113878 
0.741036 0.00767928 0.000141181 
0.939591 0.0097756 0.000182814 
1.14061 0.0111561 0.000233686 
1.29741 0.013772 0.00029292 
1.47988 0.0163697 0.000364652 
1.6962 0.0179815 0.000453584 
1.87719 0.0180673 0.000564255 
2.13709 0.0203129 0.000694393 
2.33865 0.0217534 0.000857406 
2.49377 0.0214955 0.00105235 
2.63923 0.0234567 0.00127707 
2.88823 0.0244182 0.0015439 
3.1385 0.0247927 0.00186406 
3.34104 0.0316413 0.00223399 
3.49743 0.0308557 0.00265765 
3.64071 0.0352948 0.00311691 
3.87171 0.0330383 0.00366282 
