0.1 0.165632 0.0318518
0.3 0.094683 0.0473591
0.5 0.234457 0.0576727
0.7 0.133619 0.111071
0.9 0.253805 0.0944533
1.1 0.503498 0.121818
1.3 0.365113 0.15815
1.5 0.0718759 1.55901
1.7 -nan -nan
1.9 0.741454 0.377392
2.1 1.02946 0.403369
2.3 -nan -nan
2.5 -nan -nan
2.7 -nan -nan
2.9 1.02975 0.7728
3.1 -nan -nan
3.3 -nan -nan
3.5 -nan -nan
3.7 -nan -nan
3.9 0 0
4.1 0 0
4.3 0 0
4.5 0 0
4.7 0 0
4.9 0 0
