0.25 -nan -nan 
0.388168 0.00307971 0.000124741 
0.548335 0.00481848 0.000113765 
0.743147 0.00668918 0.000141067 
0.937475 0.00889223 0.000182668 
1.14248 0.0102883 0.000233479 
1.29721 0.0126671 0.000292728 
1.47639 0.0143978 0.000364355 
1.69825 0.0155518 0.000453061 
1.87426 0.0169089 0.000563683 
2.13863 0.0176531 0.000693959 
2.33742 0.0184066 0.000857105 
2.49587 0.0193373 0.0010509 
2.63997 0.0220819 0.00127564 
2.88889 0.0213192 0.00154436 
3.13408 0.0254049 0.00186313 
3.34056 0.0278871 0.00223526 
3.49294 0.0248278 0.00265426 
3.64926 0.0298158 0.00311993 
3.86555 0.0259871 0.00365973 
