0.25 -nan -nan 
0.388206 0.00293152 0.000124741 
0.548244 0.00458129 0.000113765 
0.743341 0.00636761 0.000141067 
0.937479 0.00849893 0.000182668 
1.14259 0.00984747 0.000233481 
1.2973 0.0121731 0.000292731 
1.47626 0.0138591 0.000364356 
1.69841 0.0149846 0.000453067 
1.87401 0.0162637 0.00056371 
2.13872 0.0169534 0.000693987 
2.33725 0.0177304 0.000857114 
2.49593 0.0185676 0.00105088 
2.64005 0.0212933 0.0012756 
2.8891 0.0204146 0.00154445 
3.13429 0.0244828 0.00186318 
3.34009 0.0271186 0.00223519 
3.49304 0.0237737 0.00265368 
3.64954 0.0287634 0.00312024 
3.86517 0.0249521 0.00365968 
