0.25 -nan -nan 
0.384616 0.00252694 0.000126814 
0.548057 0.00367023 0.000115616 
0.744038 0.0051121 0.000143323 
0.937761 0.00692461 0.000185569 
1.13987 0.00780722 0.000237109 
1.29855 0.00946175 0.000297051 
1.47726 0.0119294 0.000369783 
1.69859 0.011762 0.000459592 
1.87821 0.0126894 0.000571909 
2.13841 0.0146088 0.000703824 
2.33748 0.0157218 0.000869514 
2.49275 0.0154084 0.00106671 
2.64371 0.017123 0.00129428 
2.88184 0.0179531 0.00156457 
3.14207 0.015489 0.00188794 
3.34122 0.0221269 0.00226639 
3.49134 0.020602 0.00269364 
3.63755 0.0203447 0.00316112 
3.89628 0.0240848 0.00372049 
