0.25 -nan -nan 
0.38822 0.00232622 0.000124743 
0.548128 0.00361629 0.000113765 
0.744245 0.00507545 0.000141068 
0.937449 0.00694231 0.000182672 
1.14295 0.00803981 0.000233486 
1.29789 0.0101158 0.00029274 
1.47601 0.0116992 0.000364363 
1.69895 0.0126235 0.000453099 
1.87319 0.0135925 0.0005638 
2.13828 0.0141119 0.000694096 
2.33697 0.0147137 0.000857089 
2.49674 0.0155121 0.0010508 
2.63992 0.0181271 0.00127547 
2.89061 0.016807 0.00154469 
3.13428 0.0208775 0.00186318 
3.33858 0.0235334 0.00223461 
3.49322 0.0194702 0.00265332 
3.65213 0.0247773 0.00312201 
3.86251 0.0209291 0.00365891 
