0.25 -nan -nan 
0.38554 0.0027497 0.000124711 
0.549485 0.00412143 0.000113752 
0.744027 0.00582965 0.000141045 
0.937127 0.00782874 0.000182661 
1.14316 0.00904664 0.000233516 
1.2959 0.011257 0.000292747 
1.48065 0.0130126 0.000364288 
1.69717 0.0147994 0.000453302 
1.87833 0.015503 0.000563633 
2.13512 0.0181803 0.000694174 
2.34052 0.0171377 0.000857453 
2.49377 0.0184101 0.00105098 
2.64212 0.0203064 0.00127568 
2.88918 0.0210506 0.00154166 
3.1313 0.0239215 0.00186001 
3.34107 0.0260644 0.00222917 
3.4893 0.0221643 0.00265644 
3.65812 0.030716 0.00312137 
3.85854 0.0194194 0.00367826 
