0.25 -nan -nan 
0.388154 0.00278436 0.000124742 
0.548259 0.00433908 0.000113764 
0.743489 0.00604776 0.000141067 
0.937476 0.00810985 0.000182669 
1.1427 0.00939858 0.000233481 
1.29742 0.0116743 0.000292733 
1.47618 0.0133227 0.000364356 
1.69853 0.0144123 0.000453076 
1.87375 0.0156005 0.000563732 
2.13873 0.016236 0.000694022 
2.33731 0.0169889 0.000857141 
2.49598 0.0178659 0.00105081 
2.64 0.0204948 0.00127558 
2.88947 0.0195797 0.00154458 
3.13423 0.0235461 0.0018632 
3.33977 0.0261617 0.00223496 
3.49302 0.0226888 0.00265329 
3.65033 0.0278149 0.00312058 
3.86415 0.0238113 0.0036596 
