0.25 -nan -nan 
0.38509 0.00278782 0.000126815 
0.548187 0.00409381 0.000115618 
0.743726 0.00569889 0.000143324 
0.937932 0.00768348 0.000185563 
1.13985 0.0086708 0.000237107 
1.29815 0.0104392 0.000297043 
1.47729 0.0130706 0.000369793 
1.69834 0.0128783 0.000459583 
1.87875 0.0139782 0.000571867 
2.13825 0.0160739 0.000703856 
2.33765 0.0172076 0.000869506 
2.49305 0.0170183 0.00106672 
2.64284 0.0186715 0.00129434 
2.88271 0.0201471 0.00156444 
3.1405 0.0177974 0.00188786 
3.34159 0.0237016 0.00226667 
3.49204 0.0226899 0.00269344 
3.63774 0.0225369 0.00316216 
3.89477 0.0266944 0.00371988 
