0.25 -nan -nan 
0.383957 0.00197447 0.000124708 
0.550438 0.00286285 0.000113752 
0.745457 0.0042028 0.000141045 
0.936765 0.00583441 0.000182662 
1.14418 0.00670155 0.000233518 
1.29621 0.00858407 0.00029276 
1.48105 0.0100251 0.000364321 
1.6979 0.0115863 0.000453366 
1.87789 0.0121224 0.000563711 
2.13457 0.0142381 0.000694306 
2.3405 0.0134474 0.000857577 
2.49348 0.0141458 0.0010511 
2.64308 0.0159755 0.00127564 
2.89149 0.0165794 0.00154198 
3.12828 0.0187523 0.00186001 
3.34443 0.0207604 0.00222959 
3.4873 0.0180237 0.00265645 
3.65917 0.0247979 0.00312108 
3.85399 0.0134664 0.00367752 
