0.25 -nan -nan 
0.384269 0.00239455 0.000126814 
0.548206 0.00344879 0.000115616 
0.744181 0.00482615 0.000143322 
0.937665 0.00654798 0.00018557 
1.13987 0.00737459 0.000237108 
1.29878 0.00897833 0.00029706 
1.47715 0.0113616 0.000369775 
1.6987 0.011183 0.000459601 
1.878 0.0120527 0.000571913 
2.13842 0.0138789 0.000703857 
2.33752 0.0149777 0.000869577 
2.49243 0.0145866 0.00106672 
2.64433 0.0164362 0.00129424 
2.88133 0.0168191 0.00156467 
3.14302 0.0143339 0.00188818 
3.34111 0.021187 0.00226664 
3.49093 0.0195908 0.00269356 
3.6383 0.0195685 0.00316057 
3.89627 0.0226936 0.00372106 
