0.25 -nan -nan 
0.384824 0.00228638 0.000124709 
0.550067 0.00337262 0.000113753 
0.744628 0.00486462 0.000141045 
0.936903 0.00663872 0.000182662 
1.14362 0.00763707 0.000233515 
1.29619 0.00965748 0.000292756 
1.48073 0.011237 0.000364311 
1.69759 0.0128714 0.000453338 
1.87815 0.0134718 0.000563669 
2.13469 0.0158309 0.000694266 
2.34077 0.0148751 0.000857535 
2.49344 0.0158944 0.0010511 
2.64262 0.0176859 0.00127577 
2.89065 0.0183804 0.00154204 
3.12951 0.0208958 0.00186002 
3.34283 0.0229404 0.00222956 
3.48837 0.0196548 0.00265626 
3.65856 0.0272696 0.00312166 
3.8564 0.0157213 0.00367751 
